token_id,threshold,coverage,success,precision,status,total_count
0,0.92,4626,4626,1.0,ok,14181
1,0.69,105,105,1.0,ok,415
2,0.74,134,134,1.0,ok,409
3,0.99,16717,16717,1.0,ok,195148
4,0.63,138,138,1.0,ok,305
5,0.88,103,103,1.0,ok,281
6,0.88,242,242,1.0,ok,1659
7,0.98,11322,11322,1.0,ok,57696
8,0.98,32102,32102,1.0,ok,123640
10,0.95,10167,10167,1.0,ok,38122
11,1.0,13336,13336,1.0,ok,393749
12,0.97,12858,12858,1.0,ok,54915
13,0.99,19430,19430,1.0,ok,263889
14,0.9,1390,1390,1.0,ok,5503
15,,0,0,,fallback_no_valid_threshold,500623
16,1.0,66603,66603,1.0,ok,822290
17,1.0,83739,83739,1.0,ok,988675
18,1.0,41191,41191,1.0,ok,374942
19,1.0,28501,28501,1.0,ok,274654
20,,0,0,,fallback_no_valid_threshold,257705
21,0.99,37842,37842,1.0,ok,199767
22,1.0,12806,12806,1.0,ok,120987
23,1.0,13311,13311,1.0,ok,121904
24,1.0,12859,12859,1.0,ok,131552
25,0.99,13291,13291,1.0,ok,129272
27,0.71,200,200,1.0,ok,486
28,0.94,3829,3829,1.0,ok,20808
29,0.76,257,257,1.0,ok,482
31,0.66,1222,1222,1.0,ok,1740
32,0.91,1543,1543,1.0,ok,10063
33,0.86,2455,2455,1.0,ok,6566
34,0.81,1708,1708,1.0,ok,4729
35,0.79,842,842,1.0,ok,2093
36,0.93,362,362,1.0,ok,1823
37,0.81,686,686,1.0,ok,1813
38,0.81,562,562,1.0,ok,2160
39,0.81,335,335,1.0,ok,957
40,0.79,136,136,1.0,ok,511
41,0.95,101,101,1.0,ok,477
42,0.67,515,515,1.0,ok,1471
43,0.63,153,153,1.0,ok,323
44,0.65,968,968,1.0,ok,3476
45,0.78,1061,1061,1.0,ok,4455
46,0.82,541,541,1.0,ok,1986
47,0.81,1234,1234,1.0,ok,4380
48,0.93,380,380,1.0,ok,2703
49,0.68,764,764,1.0,ok,2022
50,0.9,788,788,1.0,ok,4400
51,0.64,317,317,1.0,ok,1135
52,0.77,70,70,1.0,ok,146
53,0.8,328,328,1.0,ok,1083
54,0.61,117,117,1.0,ok,267
55,0.94,179,179,1.0,ok,874
56,0.5,194,194,1.0,ok,298
57,0.56,553,553,1.0,ok,1161
58,0.83,2414,2414,1.0,ok,8364
59,1.0,4836,4836,1.0,ok,49526
60,1.0,12987,12987,1.0,ok,65116
61,1.0,20690,20690,1.0,ok,208595
62,0.99,11139,11139,1.0,ok,62520
64,0.98,9513,9513,1.0,ok,77938
65,0.99,4634,4634,1.0,ok,42707
66,0.99,3356,3356,1.0,ok,17058
67,0.91,3386,3386,1.0,ok,9571
68,0.88,526,526,1.0,ok,1242
69,0.87,6688,6688,1.0,ok,29910
70,0.82,1043,1043,1.0,ok,4876
